MatchID,SeasonID,GradeID,Round,HomeTeamName,AwayTeamName,HomeClubEntityID,AwayClubEntityID,HomeTeamResultID,AwayTeamResultID,VenueName,VenueLat,VenueLong,MatchDate,ResultSummary,ScoreText,WasLiveScored,MatchStatusID
6848458,17,71374,7,HBS 1,Sparta 1,134457,134463,23852666,23852667,Sportpark Craeyenhout,52.07404,4.24912,2024-07-06 10:00:00,HBS 1 won (DLS Method),HBS 1 193/3 def. Sparta 1 197,False,60
6848459,17,71374,7,Hermes-DVS 1,Excelsior'20 1,134470,134456,23852668,23852669,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-07-06 10:00:00,Hermes-DVS 1 won by 4 wickets (DLS Method),Hermes-DVS 1 150/6 def. Excelsior'20 1 137/5,False,60
6848460,17,71374,7,VRA 1,VOC 1,134466,134464,23852670,23852671,Amsterdamse Bos,52.31898,4.85117,2024-07-06 10:00:00,Match Abandoned,Match Abandoned,False,60
6848461,17,71374,7,Punjab-Ghausia 1,HCC 1,134462,134461,23852672,23852673,Zomercomplex,51.86658,4.47821,2024-07-06 10:00:00,Punjab-Ghausia 1 won by 6 wickets,Punjab-Ghausia 1 150/4 def. HCC 1 148,False,60
6848462,17,71374,7,ACC 1,VCC 1,134454,134465,23852674,23852675,Sportpark 't Loopveld,52.31912,4.8843,2024-07-06 10:00:00,VCC 1 won by 62 runs (DLS Method),ACC 1 140 def. by VCC 1 191/9,False,60
6848432,17,71374,1,Hermes-DVS 1,VRA 1,134470,134466,23852614,23852615,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-07-07 10:00:00,Match Abandoned,Match Abandoned,False,60
6848430,17,71374,1,Excelsior'20 1,ACC 1,134456,134454,23852610,23852611,Sportpark Thurlede,51.9327,4.39525,2024-07-07 10:00:00,Match Abandoned,Match Abandoned,False,60
6848428,17,71374,1,HCC 1,Sparta 1,134461,134463,23852606,23852607,De Diepput,52.09602,4.32358,2024-07-07 10:00:00,HCC 1 won by 8 wickets (DLS Method),HCC 1 125/2 def. Sparta 1 115/6,False,60
6848463,17,71374,8,Sparta 1,VCC 1,134463,134465,23852676,23852677,Sportpark Bermweg,51.94436,4.58983,2024-07-14 10:00:00,VCC 1 won by 27 runs,Sparta 1 190 def. by VCC 1 217,False,60
6848464,17,71374,8,HCC 1,ACC 1,134461,134454,23852678,23852679,De Diepput,52.09602,4.32358,2024-07-14 10:00:00,HCC 1 won by 147 runs,HCC 1 248/6 def. ACC 1 101,False,60
6848465,17,71374,8,VOC 1,Punjab-Ghausia 1,134464,134462,23852680,23852681,Schiebroekse Park,51.97019,4.48035,2024-07-14 10:00:00,Punjab-Ghausia 1 won by 8 wickets,VOC 1 224 def. by Punjab-Ghausia 1 227/2,False,60
6848466,17,71374,8,Excelsior'20 1,VRA 1,134456,134466,23852682,23852683,Sportpark Thurlede,51.9327,4.39525,2024-07-14 10:00:00,Excelsior'20 1 won by 5 wickets,Excelsior'20 1 176/5 def. VRA 1 175,False,60
6848467,17,71374,8,HBS 1,Hermes-DVS 1,134457,134470,23852684,23852685,Sportpark Craeyenhout,52.07404,4.24912,2024-07-14 10:00:00,HBS 1 won by 106 runs,HBS 1 288/5 def. Hermes-DVS 1 182,False,60
6848437,17,71374,2,HCC 1,VOC 1,134461,134464,23852624,23852625,De Diepput,52.09602,4.32358,2024-07-20 10:00:00,HCC 1 won by 80 runs (DLS Method),HCC 1 247/7 def. VOC 1 167,False,60
6848444,17,71374,4,ACC 1,VRA 1,134454,134466,23852638,23852639,Sportpark 't Loopveld,52.31912,4.8843,2024-07-20 10:00:00,VRA 1 won by 2 wickets,ACC 1 167 def. by VRA 1 168/8,False,60
