match_id,external_match_id,association_id,season_id,grade_id,grade_name,date1,date2,date3,date4,start_time1,venue_id,venue_name,venue_address,venue_lat,venue_long,toss_won_by,batted_first,allow_live_score,follow_on,score_text,leader_text,g_sort_order,um_pire1,um_pire2,config___type,config_allow_match_bonus,config_balls_per_over,config_bat_lim_ball_per_bat,config_bat_lim_over_per_pair,config_bat_lim_runs_per_bat,config_bat_limit_id,config_bowl_lim_over_per_bwl,config_bowl_limit_id,config_bowl_limit_max_ball_over,config_change_strike_wkt,config_dismissal_mode,config_dismissal_penalty,config_dismissal_penalty_mode,config_max_overs,config_max_pen_wkt_batter,config_nb_value,config_nbs_as_bf,config_pen_runs_per_wkt,config_rebowl_nb,config_rebowl_wd,config_rebowl_wd_nb,config_starting_runs,config_wide_value,config_wides_as_bf,team1_is_home,team1_team_name,team1_team_id,team1_entity_id,team1_result_id,team1_result_type,team1_runs,team1_wickets,team1_overs_bowled,team1_extras,team1_leg_byes,team1_wides,team1_no_balls,team2_is_home,team2_team_name,team2_team_id,team2_entity_id,team2_result_id,team2_result_type,team2_runs,team2_wickets,team2_overs_bowled,team2_extras,team2_leg_byes,team2_wides,team2_no_balls
6629525,0,134453,15,73943,Zami,2023-05-13 11:00:00,,,,,0,Sportpark Overveer,Abtspoelweg 21,52.18701,4.48845,unknown,Salland,True,False,Ajax 172/9 def. by Salland 191/7,Salland won by 19 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Ajax,,134764,23384718,LOST FIRST INNINGS (ONE DAY),172.0,9.0,35.0,31.0,3.0,28.0,0.0,False,Salland,,134474.0,23384719.0,WON FIRST INNINGS (ONE DAY),191.0,7.0,35.0,25.0,0.0,22.0,3.0
6629526,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,De Roggewoning,Buurtweg 122,52.11449,4.3422,Groen Geel 2,Groen Geel 2,True,False,Groen Geel 2 85 def. by Kampong 2 86/3,Kampong 2 won by 7 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Groen Geel 2,,136542,23384720,LOST FIRST INNINGS (ONE DAY),85.0,10.0,29.5,21.0,0.0,19.0,1.0,False,Kampong 2,,134471.0,23384721.0,WON FIRST INNINGS (ONE DAY),86.0,3.0,15.0,19.0,3.0,15.0,1.0
6629527,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,Sportpark Thurlede,Parkweg 415-417,51.9327,4.39525,Excelsior'20,Hilversum 2,True,False,Excelsior'20 183/6 def. Hilversum 2 182/8,Excelsior'20 won by 4 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Excelsior'20,,134456,23384722,WON FIRST INNINGS (ONE DAY),183.0,6.0,26.2,40.0,4.0,30.0,5.0,False,Hilversum 2,,136545.0,23384723.0,LOST FIRST INNINGS (ONE DAY),182.0,8.0,35.0,55.0,3.0,44.0,7.0
6629528,0,134453,15,73943,Zami,2023-08-26 12:00:00,,,,,0,Schiebroekse Park,Hazelaarweg 7,51.97019,4.48035,VOC,VOC,True,False,VOC 201/5 def. by Hercules 204/6,Hercules won by 4 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VOC,,134464,23384724,LOST FIRST INNINGS (ONE DAY),201.0,5.0,30.0,31.0,4.0,15.0,3.0,False,Hercules,,136544.0,23384725.0,WON FIRST INNINGS (ONE DAY),204.0,6.0,24.5,41.0,3.0,30.0,6.0
6629529,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,Sportpark Westvliet,Groene Zoom 20,52.0682,4.37525,Bloemendaal,VCC,True,False,VCC 245/3 def. Bloemendaal 116,VCC won by 129 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VCC,,134465,23384726,WON FIRST INNINGS (ONE DAY),245.0,3.0,35.0,33.0,4.0,24.0,1.0,False,Bloemendaal,,134467.0,23384727.0,LOST FIRST INNINGS (ONE DAY),116.0,10.0,29.2,25.0,1.0,18.0,5.0
6629530,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,"Loopuyt Oval, Sportpark Harga",Trimpad 12,51.92125,4.36521,Hermes-DVS,Hermes-DVS,True,False,Hermes-DVS 160/7 def. by VVV 161/6,VVV won by 4 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Hermes-DVS,,134470,23384728,LOST FIRST INNINGS (ONE DAY),160.0,7.0,35.0,35.0,1.0,31.0,2.0,False,VVV,,134475.0,23384729.0,WON FIRST INNINGS (ONE DAY),161.0,6.0,28.3,32.0,0.0,31.0,1.0
6629531,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,Sportpark De Rading,Het Jagerpaadje 28,52.20933,5.12749,Hilversum 1,ACC,True,False,Hilversum 1 242/4 def. ACC 239/9,Hilversum 1 won by 6 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Hilversum 1,,136545,23384730,WON FIRST INNINGS (ONE DAY),242.0,4.0,34.2,35.0,2.0,25.0,2.0,False,ACC,,134454.0,23384731.0,LOST FIRST INNINGS (ONE DAY),239.0,9.0,35.0,49.0,7.0,39.0,0.0
6629532,0,134453,15,73943,Zami,2023-08-25 12:00:00,,,,,0,Sportpark Craeyenhout,Daal en Bergselaan 1B,52.07404,4.24912,HCC 2,HCC 2,True,False,HBS 126/8 def. by HCC 2 177/7,HCC 2 won by 51 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,HBS,,134457,23384732,LOST FIRST INNINGS (ONE DAY),126.0,8.0,20.0,11.0,3.0,6.0,0.0,False,HCC 2,,134461.0,23384733.0,WON FIRST INNINGS (ONE DAY),177.0,7.0,20.0,10.0,5.0,2.0,2.0
6629533,0,134453,15,73943,Zami,2023-05-20 12:00:00,,,,,0,Sportpark Nieuw Hanenburg,De Savornin Lohmanlaan 215,52.07234,4.24359,VRA 3,Quick 1,True,False,Quick 1 213/8 def. VRA 3 153,VRA 3 trails by 60 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Quick 1,,134472,23384734,WON FIRST INNINGS (ONE DAY),213.0,8.0,35.0,14.0,0.0,13.0,0.0,False,VRA 3,,134466.0,23384735.0,LOST FIRST INNINGS (ONE DAY),153.0,10.0,30.4,27.0,1.0,26.0,0.0
6629534,0,134453,15,73943,Zami,2023-07-15 12:00:00,,,,,0,Sportpark Eindenhout,Wagenweg 240B,52.36441,4.61564,unknown,unknown,True,False,Rood en Wit 2  v HCC 3 ,,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Rood en Wit 2,,134473,23384736,,,,,,,,,False,HCC 3,,134461.0,23384737.0,,,,,,,,
6629535,0,134453,15,73943,Zami,2023-06-03 12:00:00,,,,,0,Amsterdamse Bos,Nieuwe Kalfjeslaan 21B,52.31898,4.85117,unknown,unknown,True,False,VRA 3  v HCC 2 ,,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VRA 3,,134466,23384738,,,,,,,,,False,HCC 2,,134461.0,23384739.0,,,,,,,,
6629536,0,134453,15,73943,Zami,2023-05-20 12:00:00,,,,,0,Donkerelaan,Donkerelaan 14,52.40816,4.61711,Bloemendaal,Bloemendaal,True,False,Bloemendaal 170 def. by ACC 173/3,ACC won by 7 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Bloemendaal,,134467,23384740,LOST FIRST INNINGS (ONE DAY),170.0,10.0,31.0,22.0,1.0,18.0,0.0,False,ACC,,134454.0,23384741.0,WON FIRST INNINGS (ONE DAY),173.0,3.0,24.1,25.0,0.0,24.0,1.0
6629537,0,134453,15,73943,Zami,2023-05-20 12:00:00,,,,,0,Sportpark De Rading,Het Jagerpaadje 28,52.20933,5.12749,VVV,VVV,True,False,VVV 166/9 def. by Hilversum 1 167/7,Hilversum 1 won by 3 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VVV,,134475,23384742,LOST FIRST INNINGS (ONE DAY),166.0,9.0,35.0,54.0,1.0,49.0,1.0,False,Hilversum 1,,136545.0,23384743.0,WON FIRST INNINGS (ONE DAY),167.0,7.0,33.3,46.0,4.0,41.0,1.0
6629538,0,134453,15,73943,Zami,2023-05-20 12:00:00,,,,,0,Sportpark Westvliet,Groene Zoom 20,52.0682,4.37525,Concordia,VCC,True,False,VCC 120 def. by Concordia 125/9,Concordia won by 1 wicket,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VCC,,134465,23384744,LOST FIRST INNINGS (ONE DAY),120.0,10.0,25.5,36.0,0.0,31.0,0.0,False,Concordia,,136537.0,23384745.0,WON FIRST INNINGS (ONE DAY),125.0,9.0,30.5,47.0,0.0,46.0,1.0
6629539,0,134453,15,73943,Zami,2023-05-20 12:00:00,,,,,0,Wanderers,Amsteleindstraat 108a,51.75996,5.49258,Wanderers,Groen Geel 2,True,False,Wanderers 165 def. by Groen Geel 2 250/7,Groen Geel 2 won by 85 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Wanderers,,136551,23384746,LOST FIRST INNINGS (ONE DAY),165.0,10.0,28.4,45.0,3.0,33.0,8.0,False,Groen Geel 2,,136542.0,23384747.0,WON FIRST INNINGS (ONE DAY),250.0,7.0,35.0,39.0,2.0,33.0,1.0
6629540,0,134453,15,73943,Zami,2023-05-20 12:00:00,,,,,0,Sportpark Voordorp,Voorveldselaan 2,52.10748,5.14617,Hercules,Excelsior'20,True,False,Hercules 172 def. by Excelsior'20 267/3,Excelsior'20 won by 95 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Hercules,,136544,23384748,LOST FIRST INNINGS (ONE DAY),172.0,10.0,30.1,44.0,3.0,33.0,4.0,False,Excelsior'20,,134456.0,23384749.0,WON FIRST INNINGS (ONE DAY),267.0,3.0,35.0,34.0,1.0,27.0,0.0
6629541,0,134453,15,73943,Zami,2023-06-10 12:00:00,,,,,0,Sportpark Maarschalkerweerd,Mytylweg 17,52.07644,5.15258,Kampong 2,Kampong 2,True,False,Kampong 2 321/6 def. VOC 227/9,Kampong 2 won by 94 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Kampong 2,,134471,23384750,WON FIRST INNINGS (ONE DAY),321.0,6.0,35.0,41.0,1.0,33.0,4.0,False,VOC,,134464.0,23384751.0,LOST FIRST INNINGS (ONE DAY),227.0,9.0,35.0,55.0,0.0,45.0,4.0
6629542,0,134453,15,73943,Zami,2023-07-15 12:00:00,,,,,0,De Diepput,Van Hogenhoucklaan 37,52.09602,4.32358,HCC 1,HCC 1,True,False,HCC 1 144/7 def. by Salland 145/4,Salland won by 6 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,HCC 1,,134461,23406970,LOST FIRST INNINGS (ONE DAY),144.0,7.0,20.0,43.0,2.0,33.0,6.0,False,Salland,,134474.0,23406971.0,WON FIRST INNINGS (ONE DAY),145.0,4.0,20.0,22.0,1.0,19.0,1.0
