MatchID,BatterID,DismissalID,DismissalText,BowlerID,FielderID
6848443,11979082,2,c & b B Niaz,11382373.0,11382373.0
6848443,11192213,1,no,,
6848443,11193117,4,b K Ahmadi,11414154.0,
6848443,11391641,2,c F Bashir b J Snoep,11290496.0,11111711.0
6848443,11394552,2,c R Mudford b C Fraser,11979082.0,11866001.0
6848443,11403792,2,c R Mudford b K Ahmadi,11414154.0,11866001.0
6848443,11617917,2,c R Mudford b J Snoep,11290496.0,11866001.0
6848443,11859217,1,no,,
6848444,11190891,2,c V Singh b S Ahmad,11191797.0,11193669.0
6848444,11190892,4,b S Ahmad,11191797.0,
6848444,11190911,4,b C Floyd,11862290.0,
6848444,11394591,2,c S Ahmad b B Fletcher,11862142.0,11191797.0
6848444,11394592,2,c D Prince b E Eales,11862143.0,11862145.0
6848444,11394599,2,c L Turmaine b S Ahmad,11191797.0,11399930.0
6848444,11403866,3,lbw  b C Floyd,11862290.0,
6848444,11617280,1,no,,
6848444,11862357,2,c J Smal b L Turmaine,11399930.0,11625298.0
6848444,11862358,2,c S Ahmad b E Eales,11862143.0,11191797.0
6848444,11862359,6,ro (V Singh),,11193669.0
6848444,11191797,2,c A Zaidi b M Hans,11617280.0,11394591.0
6848444,11193669,2,c S Potdar b M Hans,11617280.0,11394592.0
6848444,11193727,1,no,,
6848444,11399930,6,ro,,
6848444,11625298,3,lbw  b S Kothari,11394599.0,
6848444,11862138,4,b I Sayed,11862359.0,
6848444,11862142,1,no,,
6848444,11862143,2,c M Wolfe b A Zaidi,11394591.0,11190892.0
6848444,11862145,4,b M Hans,11617280.0,
6848444,11862290,2,c MA Raza b S Kothari,11394599.0,11190891.0
6848445,11193413,4,b O Elenbaas,11407023.0,
6848445,11193437,2,c C Klijnhans b S Braat,11407027.0,11859288.0
6848445,11193442,6,ro (N Woermeijer),,11617335.0
6848445,11299375,2,c R Elenbaas b S Braat,11407027.0,11407024.0
6848445,11384036,2,c M Ekrami b N Woermeijer,11617335.0,11859287.0
6848445,11392356,3,lbw  b S Braat,11407027.0,
6848445,11392357,2,c N Statham b N Woermeijer,11617335.0,11407022.0
6848445,11619272,2,c D Doyle b O Elenbaas,11407023.0,11617907.0
6848445,11619273,1,no,,
6848445,11812783,2,c N Statham b O Elenbaas,11407023.0,11407022.0
6848445,11854467,4,b Sv Giezen,11191894.0,
6848445,11191894,4,b MV Van Vliet,11619273.0,
6848445,11407022,3,lbw  b G Kaplan,11384036.0,
6848445,11407023,2,c NRJ Croes b J Nel,11193437.0,11854467.0
6848445,11407024,6,"ro (R Klein,C Lange de)",11193413.0,11299375.0
6848445,11407027,4,b G Kaplan,11384036.0,
6848445,11617335,2,c M Molenaar b R Klein,11299375.0,11812783.0
6848445,11617906,2,c N Kulkarni b MV Van Vliet,11619273.0,11392357.0
6848445,11617907,4,b J Nel,11193437.0,
6848445,11857734,1,no,,
6848445,11859287,6,ro (A Nota),,11193442.0
6848445,11859288,4,b R Klein,11299375.0,
6848447,11136654,2,c L Ingram b N Etman,11382040.0,11191642.0
6848447,11192709,1,no,,
6848447,11193244,4,b J Ralston,11862283.0,
6848447,11383378,2,c R Verhagen b N Etman,11382040.0,11382053.0
6848447,11383382,2,c L Ingram b N Etman,11382040.0,11191642.0
6848447,11391030,4,b J Ralston,11862283.0,
6848447,11403873,6,ro (L Ingram),,11191642.0
6848447,11859291,4,b J Ralston,11862283.0,
6848447,11859687,4,b L Ingram,11191642.0,
6848447,11859688,4,b J Ralston,11862283.0,
6848447,11859689,2,c J Ralston b N Etman,11382040.0,11862283.0
6848447,11191603,1,no,,
6848447,11191642,3,lbw  b AF Hoseinbaks,11403873.0,
6848447,11191716,2,c AF Hoseinbaks b J Schoonheim,11383382.0,11403873.0
6848447,11381929,2,c & b A Jain,11383378.0,11383378.0
6848447,11382040,2,c A JAIN b J Schoonheim,11383382.0,11192709.0
6848447,11382041,4,b J McKenzie,11859688.0,
6848447,11382047,6,ro (J McKenzie),,11859688.0
6848447,11382053,2,c J McKenzie b J Schoonheim,11383382.0,11859688.0
6848447,11403951,2,c R Schierhout b J McKenzie,11859688.0,11859689.0
6848447,11855810,2,c R Schierhout b J McKenzie,11859688.0,11859689.0
6848447,11862283,4,b J McKenzie,11859688.0,
6848448,11111561,2,c,12033096.0,11857835.0
6848448,11617390,4,b G Sheena,11862357.0,
6848448,11866000,1,no,,
6848448,11866001,4,b I Sayed,11862359.0,
6848448,11979082,1,no,,
6848448,-104,2,c M Singh b K Ahmadi,11414154.0,11111557.0
6848448,11190891,4,b U Baker,11191600.0,
6848448,11394589,6,"ro (S Martina,R Mudford)",11866001.0,11866000.0
6848448,11394590,2,c U Baker b J Snoep,11290496.0,11191600.0
6848448,11394591,2,c R Mudford b J Snoep,11290496.0,11866001.0
6848448,11394592,2,c R Mudford b C Fraser,11979082.0,11866001.0
6848448,11394599,2,c S Martina b C Fraser,11979082.0,11866000.0
6848448,11857835,2,c R Mudford b K Ahmadi,11414154.0,11866001.0
6848448,11862357,4,b U Baker,11191600.0,
6848448,11862358,4,b J Snoep,11290496.0,
6848448,11862359,1,no,,
6848449,11193381,2,c S Zulfiqar b M Shafiq,11617919.0,11192213.0
6848449,11193415,2,c F Shinwari b S Zulfiqar,11192213.0,11859217.0
6848449,11193418,2,c MN Ahmad b S Kamal,11392354.0,11391641.0
6848449,11299375,2,c M Riaz b S Kamal,11392354.0,11403792.0
6848449,11384036,4,b M Shafiq,11617919.0,
6848449,11392348,3,lbw  b S Zulfiqar,11394555.0,
6848449,11392356,1,no,,
6848449,11619272,2,c M Riaz b M Shafiq,11617919.0,11403792.0
6848449,11619273,2,c F Shinwari b S Zulfiqar,11192213.0,11859217.0
6848449,11812783,2,c S Zulfiqar b S Kamal,11392354.0,11394555.0
6848449,11854467,3,lbw  b B Niaz,11382373.0,
6848449,11192213,2,c F Lange de b M Molenaar,11812783.0,11193415.0
6848449,11382373,2,c M Levitt b MV Van Vliet,11619273.0,11619272.0
6848449,11391641,2,c NRJ Croes b G Kaplan,11384036.0,11854467.0
6848449,11394552,2,c M Levitt b M Molenaar,11812783.0,11619272.0
6848449,11394555,1,no,,
6848449,11403792,2,c MV Van Vliet b M Molenaar,11812783.0,11619273.0
6848449,11617917,4,b,11381400.0,
6848449,11617919,1,no,,
6848449,11859217,3,lbw  b F Lange de,11193415.0,
6848450,11194169,4,b S Ahmad,11191797.0,
6848450,11194218,6,ro (S Ahmad),,11191797.0
