season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
17,2024,76594,Netherlands Men's A International Series,Nehterlands A,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,80719,Netherlands U17 vs Wiltshire,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,80565,Netherlands U18 v Ireland U17,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79970,Netherlands Women vs Namibia Women,NEDNAMW,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,76104,Netherlands Women's Intersquad,Intersquad,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79940,Netherlands vs England Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,80718,Netherlands vs FairBreak Women's T20 Series,,,,,Koninklijke Nederlandse Cricket Bond,
"17,2024,88782,""Netherlands vs Hong Kong, China Women T20I Series"",T20I NED vs HK-C (W),,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4"
17,2024,75878,Netherlands vs Ireland Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,80714,Netherlands vs Ireland Women's ODI Series,NED vs IRE,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,83846,Netherlands vs Ireland Women's T20I Series,NED vs IRE,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,88781,Netherlands vs Italy Women's T20I Series,T20I NED vs ITA (W),,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4
17,2024,84822,Netherlands vs Jersey Women's T10I Series,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,83847,Netherlands vs Jersey Women's T20I Series,NED vs JER,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,80575,Netherlands vs New Zealand T20I Series,NVNZ,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79941,Netherlands vs Pakistan Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,75716,Netherlands vs Scotland ODI Series,ODI,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,83844,Netherlands vs Thailand Women's ODI Series,NED vs THA,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79939,Netherlands vs West Indies Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79484,Non KNCB Matches,NKM,,,,Koninklijke Nederlandse Cricket Bond,1
17,2024,80636,Overgangsklasse Finals,OV Klasse Finals,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,90057,Pakistan Ambassador Cup,PAC,,,,Koninklijke Nederlandse Cricket Bond,1
17,2024,74672,Pre-season,Pre-S,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
